match_id,match_date,match_time,home_team,away_team,page_id,captured_at,胜平负_初始_主,胜平负_初始_平,胜平负_初始_客,胜平负_即时_主,胜平负_即时_平,胜平负_即时_客,欧赔_初始_主,欧赔_初始_平,欧赔_初始_客,欧赔_即时_主,欧赔_即时_平,欧赔_即时_客,亚值_初始_主水,亚值_初始_盘口值,亚值_初始_客水,亚值_即时_主水,亚值_即时_盘口值,亚值_即时_客水,凯利_初始_主,凯利_初始_平,凯利_初始_客,凯利_即时_主,凯利_即时_平,凯利_即时_客,离散率_初始_主,离散率_初始_平,离散率_初始_客,离散率_即时_主,离散率_即时_平,离散率_即时_客
2026-04-22_毕尔巴鄂竞技_奥萨苏纳,2026-04-22,01:00,毕尔巴鄂竞技,奥萨苏纳,1215989,2026-04-20 16:53:32,1.85,3.3,4.0,1.85,3.4,4.33,1.92,3.33,4.2,1.84,3.43,4.3,0.882,-0.538,0.958,0.944,-0.519,0.896,0.94,0.94,0.94,0.9,0.97,0.97,4.33,8.28,36.27,4.04,9.65,23.34
2026-04-22_马洛卡_瓦伦西亚,2026-04-22,01:00,马洛卡,瓦伦西亚,192580,2026-04-20 16:53:32,2.37,3.1,2.62,2.5,3.1,2.5,2.46,3.13,2.71,2.58,3.1,2.58,,,,,,,0.91,0.91,0.91,0.96,0.91,0.87,24.72,21.68,53.17,20.6,49.16,96.55
2026-04-22_皇家马德里_阿拉维斯,2026-04-22,03:30,皇家马德里,阿拉维斯,1216133,2026-04-20 16:53:32,1.3,5.0,9.0,1.29,5.5,9.5,1.3,5.63,8.93,1.27,5.67,9.79,0.912,-1.633,0.923,0.853,-1.5,0.991,0.94,0.94,0.94,0.92,0.95,1.03,1.98,30.59,82.45,4.01,31.98,79.58
2026-04-22_赫罗纳_皇家贝蒂斯,2026-04-22,03:30,赫罗纳,皇家贝蒂斯,1216039,2026-04-20 16:53:32,2.5,3.2,2.7,2.5,3.2,2.75,2.52,3.31,2.76,2.49,3.38,2.71,0.862,0.987,,0.82,1.031,,0.94,0.94,0.94,0.93,0.96,0.92,5.51,4.77,11.39,4.56,8.1,9.18
2026-04-23_埃尔切_马德里竞技,2026-04-23,01:00,埃尔切,马德里竞技,1216102,2026-04-20 16:53:32,2.5,3.5,2.45,4.0,3.6,1.83,2.59,3.64,2.48,3.58,3.6,1.99,0.908,0.4,0.93,0.931,0.033,0.921,0.94,0.94,0.94,1.3,0.93,0.75,12.05,11.4,5.64,253.32,9.22,45.4
2026-04-23_皇家社会_赫塔费,2026-04-23,02:00,皇家社会,赫塔费,1216157,2026-04-20 16:53:32,2.25,2.9,3.4,1.85,3.3,4.5,2.23,2.98,3.66,1.85,3.26,4.63,0.871,-0.483,0.965,0.935,-0.283,0.9,0.94,0.95,0.95,0.78,1.04,1.2,17.41,11.01,92.98,12.27,20.11,93.56
2026-04-24_莱万特_塞维利亚,2026-04-24,01:00,莱万特,塞维利亚,1216058,2026-04-20 16:53:32,2.45,3.2,2.8,2.8,3.4,2.3,2.48,3.2,2.88,2.8,3.29,2.48,0.946,0.089,0.907,0.941,-0.125,0.945,0.94,0.94,0.94,1.06,0.97,0.81,6.91,5.37,7.69,38.26,13.73,34.07
2026-04-24_巴列卡诺_西班牙人,2026-04-24,02:00,巴列卡诺,西班牙人,1215850,2026-04-20 16:53:32,2.05,3.3,3.5,1.75,3.75,4.33,2.1,3.23,3.65,1.85,3.5,4.19,0.897,-0.554,0.944,0.838,-0.304,0.99,0.94,0.94,0.94,0.83,1.02,1.08,5.92,7.03,32.25,15.34,26.04,56.58
2026-04-25_皇家贝蒂斯_皇家马德里,2026-04-25,03:00,皇家贝蒂斯,皇家马德里,1215857,2026-04-20 16:53:32,3.4,3.9,1.85,3.3,3.75,1.95,3.54,3.99,1.88,3.45,3.91,1.91,0.969,0.438,0.906,0.92,0.521,0.92,0.94,0.94,0.94,0.92,0.92,0.96,18.33,19.85,4.2,24.82,18.74,12.32
2026-04-25_阿拉维斯_马洛卡,2026-04-25,20:00,阿拉维斯,马洛卡,1216081,2026-04-20 16:53:32,2.25,3.0,3.3,2.0,3.3,3.6,2.21,3.1,3.45,2.07,3.23,3.63,0.926,-0.354,0.967,0.941,-0.271,0.903,0.94,0.94,0.94,0.88,0.98,0.99,9.85,8.34,17.19,11.74,13.04,29.38
2026-04-25_赫塔费_巴塞罗那,2026-04-25,22:15,赫塔费,巴塞罗那,1216035,2026-04-20 16:53:32,4.8,3.9,1.62,6.5,4.33,1.44,5.12,3.97,1.62,5.7,4.04,1.55,0.924,0.958,0.917,0.947,0.833,0.89,0.94,0.94,0.94,1.05,0.96,0.9,30.61,12.72,2.83,104.91,24.54,16.28
2026-04-26_马德里竞技_毕尔巴鄂竞技,2026-04-26,03:00,马德里竞技,毕尔巴鄂竞技,1216150,2026-04-20 16:53:32,2.05,3.3,3.4,1.75,3.6,4.4,2.1,3.46,3.39,1.95,3.61,3.95,0.954,-0.625,0.897,0.865,-0.271,0.978,0.94,0.94,0.94,0.87,0.98,1.1,44.43,9.97,80.19,196.63,27.86,502.78
2026-04-26_巴列卡诺_皇家社会,2026-04-26,20:00,巴列卡诺,皇家社会,1216105,2026-04-20 16:53:32,2.2,3.25,3.2,2.5,3.4,2.63,2.25,3.33,3.12,2.4,3.4,2.81,0.868,-0.077,0.981,0.945,-0.269,0.893,0.94,0.94,0.94,1.0,0.96,0.85,14.9,8.31,30.79,24.01,10.11,31.3
2026-04-27_奥萨苏纳_塞维利亚,2026-04-27,00:30,奥萨苏纳,塞维利亚,1216104,2026-04-20 16:53:32,2.1,3.3,3.3,2.05,3.3,3.5,2.11,3.37,3.36,2.08,3.36,3.45,0.864,-0.288,1.002,0.88,-0.288,0.938,0.94,0.94,0.94,0.92,0.93,0.96,2.52,13.08,6.03,5.66,13.91,14.82
