match_id,match_date,match_time,home_team,away_team,page_id,captured_at,胜平负_初始_主,胜平负_初始_平,胜平负_初始_客,胜平负_即时_主,胜平负_即时_平,胜平负_即时_客,欧赔_初始_主,欧赔_初始_平,欧赔_初始_客,欧赔_即时_主,欧赔_即时_平,欧赔_即时_客,亚值_初始_主水,亚值_初始_盘口值,亚值_初始_客水,亚值_即时_主水,亚值_即时_盘口值,亚值_即时_客水,凯利_初始_主,凯利_初始_平,凯利_初始_客,凯利_即时_主,凯利_即时_平,凯利_即时_客,离散率_初始_主,离散率_初始_平,离散率_初始_客,离散率_即时_主,离散率_即时_平,离散率_即时_客
2026-04-21_水晶宫_西汉姆联,2026-04-21,03:00,水晶宫,西汉姆联,1202700,2026-04-20 16:45:25,2.35,3.14,2.6,2.11,3.14,2.97,2.5,3.31,2.85,2.19,3.3,3.27,0.929,-0.281,0.906,0.868,-0.047,0.993,0.95,0.95,0.95,0.83,0.95,1.09,18.66,6.33,10.65,16.08,16.22,88.48
2026-04-22_布莱顿_切尔西,2026-04-22,03:00,布莱顿,切尔西,1202725,2026-04-20 16:45:25,2.45,3.5,2.63,2.4,3.6,2.7,2.43,3.65,2.67,2.41,3.59,2.68,0.89,-0.047,0.95,0.873,-0.047,0.971,0.94,0.94,0.94,0.93,0.93,0.95,6.15,9.43,7.72,7.72,12.22,7.94
2026-04-23_伯恩利_曼城,2026-04-23,03:00,伯恩利,曼城,1202745,2026-04-20 16:45:25,15.0,8.0,1.15,11.0,5.8,1.25,14.44,7.86,1.16,10.06,5.96,1.26,0.902,1.766,0.934,0.833,2.266,0.989,0.94,0.94,0.95,0.66,0.72,1.02,212.64,75.13,5.88,100.29,45.13,12.99
2026-04-23_伯恩茅斯_利兹联,2026-04-23,03:00,伯恩茅斯,利兹联,1202549,2026-04-20 16:45:25,2.0,3.4,3.5,1.91,3.6,3.7,2.02,3.53,3.52,1.97,3.56,3.63,0.983,-0.516,0.856,0.975,-0.469,0.86,0.94,0.94,0.94,0.92,0.95,0.97,3.85,8.0,15.75,17.13,11.24,49.27
2026-04-25_桑德兰_诺丁汉森林,2026-04-25,03:00,桑德兰,诺丁汉森林,1202663,2026-04-20 16:45:25,2.75,3.2,2.5,2.9,2.9,2.6,2.79,3.23,2.53,2.85,3.16,2.51,0.988,0.054,0.848,0.966,0.036,0.879,0.94,0.94,0.94,0.96,0.92,0.93,4.64,4.6,6.28,6.37,10.94,8.74
2026-04-25_富勒姆_阿斯顿维拉,2026-04-25,19:30,富勒姆,阿斯顿维拉,1202544,2026-04-20 16:45:25,2.5,3.4,2.5,2.5,3.4,2.63,2.52,3.53,2.61,2.59,3.47,2.56,0.945,-0.017,0.91,0.925,-0.033,0.923,0.94,0.94,0.94,0.97,0.92,0.92,7.18,9.7,6.01,6.12,6.79,9.48
2026-04-25_利物浦_水晶宫,2026-04-25,22:00,利物浦,水晶宫,1202737,2026-04-20 16:45:25,1.44,4.5,5.8,1.44,4.6,6.5,1.47,4.62,5.96,1.48,4.46,6.0,0.909,-1.117,0.926,0.993,-1.217,0.836,0.94,0.94,0.94,0.95,0.91,0.95,3.53,17.68,31.5,3.19,12.56,43.56
2026-04-25_狼队_热刺,2026-04-25,22:00,狼队,热刺,1202738,2026-04-20 16:45:25,3.8,3.7,1.85,3.0,3.4,2.25,3.89,3.77,1.85,3.32,3.54,2.09,0.965,0.269,0.866,0.987,0.519,0.85,0.94,0.94,0.94,0.8,0.88,1.06,16.03,19.7,6.14,51.61,14.84,58.98
2026-04-25_西汉姆联_埃弗顿,2026-04-25,22:00,西汉姆联,埃弗顿,1202702,2026-04-20 16:45:25,2.45,3.2,2.8,2.5,3.3,2.7,2.49,3.34,2.76,2.53,3.35,2.69,0.899,-0.033,0.955,0.854,-0.033,0.995,0.94,0.94,0.94,0.96,0.94,0.92,4.65,6.89,7.64,5.31,6.16,5.8
2026-04-26_阿森纳_纽卡斯尔,2026-04-26,00:30,阿森纳,纽卡斯尔,1202701,2026-04-20 16:45:25,1.5,4.33,5.5,1.44,4.5,6.5,1.5,4.48,5.78,1.48,4.46,6.12,0.88,-1.1,0.955,0.834,-1.033,0.99,0.94,0.94,0.94,0.93,0.94,1.0,3.43,10.66,16.38,7.03,18.37,95.56
